Rok,Imie,Liczba,Plec
2000,NATALIA,11511,K
2000,ALEKSANDRA,10940,K
2001,JULIA,12347,K
2001,NATALIA,11182,K
2002,JULIA,11873,K
2002,WIKTORIA,11351,K
2003,JULIA,12151,K
2003,WIKTORIA,11885,K
2004,JULIA,13773,K
2004,WIKTORIA,11207,K
2005,JULIA,14232,K
2005,WIKTORIA,11580,K
2006,JULIA,14322,K
2006,WIKTORIA,11666,K
2007,JULIA,15440,K
2007,WIKTORIA,11589,K
2008,JULIA,17399,K
2008,WIKTORIA,11010,K
2009,JULIA,16010,K
2009,MAJA,11729,K
2010,JULIA,15445,K
2010,MAJA,12312,K
2011,JULIA,13814,K
2011,MAJA,11160,K
2012,JULIA,14287,K
2012,LENA,12064,K
2013,LENA,11411,K
2013,JULIA,11242,K
2014,LENA,10610,K
2014,JULIA,9619,K
2015,ZUZANNA,9542,K
2015,LENA,9260,K
2016,ZUZANNA,9111,K
2016,JULIA,9023,K
2017,JULIA,9374,K
2017,ZUZANNA,9182,K
